PiS,KO,Lewica,PSL-Kukiz15,Konfederacja,niez.
-0.9826839826839827,-1.0,-1.0,-1.0,-1.0,-1.0
0.9475982532751092,-0.04065040650406504,0.0,-1.0,-1.0,-0.5
0.9912280701754386,0.8211382113821138,1.0,0.52,0.5,1.0
0.9907407407407407,1.0,1.0,1.0,0.875,1.0
-0.9913793103448276,1.0,1.0,1.0,-1.0,1.0
-1.0,1.0,1.0,1.0,-1.0,1.0
-1.0,1.0,1.0,1.0,1.0,1.0
-1.0,1.0,0.8723404255319149,1.0,1.0,1.0
-1.0,1.0,0.8723404255319149,1.0,0.0,1.0
-1.0,1.0,1.0,1.0,1.0,1.0
-1.0,1.0,0.8723404255319149,1.0,1.0,1.0
-1.0,1.0,0.75,1.0,1.0,1.0
-1.0,1.0,1.0,1.0,0.0,1.0
0.974025974025974,0.9923076923076923,0.7446808510638298,0.06666666666666667,-1.0,1.0
-0.9909502262443439,1.0,0.7777777777777778,1.0,1.0,1.0
-0.9911504424778761,1.0,-0.08695652173913043,1.0,1.0,1.0
-0.995575221238938,0.9922480620155039,-0.10638297872340426,1.0,1.0,1.0
-1.0,1.0,0.782608695652174,1.0,0.0,1.0
-0.9913793103448276,1.0,0.782608695652174,1.0,1.0,1.0
-0.9956521739130435,1.0,0.8222222222222222,1.0,1.0,1.0
-0.9956140350877193,1.0,0.782608695652174,1.0,1.0,1.0
-1.0,1.0,0.8478260869565217,1.0,0.09090909090909091,1.0
-0.9869565217391304,1.0,1.0,1.0,1.0,1.0
-0.9913419913419913,1.0,1.0,1.0,1.0,1.0
-1.0,1.0,1.0,1.0,1.0,1.0
-1.0,1.0,1.0,1.0,1.0,1.0
-0.9824561403508771,1.0,1.0,1.0,1.0,1.0
-0.9913793103448276,1.0,1.0,1.0,1.0,1.0
0.9826839826839827,-0.9242424242424242,-0.7446808510638298,1.0,0.0,-1.0
1.0,0.9846153846153847,-0.7872340425531915,1.0,0.0,1.0
-1.0,1.0,0.7777777777777778,1.0,1.0,1.0
-1.0,1.0,0.75,1.0,1.0,1.0
-0.991304347826087,1.0,0.7872340425531915,1.0,1.0,1.0
-1.0,1.0,0.7446808510638298,1.0,1.0,1.0
-1.0,1.0,0.7872340425531915,1.0,1.0,0.5
-1.0,1.0,0.7777777777777778,1.0,1.0,1.0
-1.0,1.0,0.9565217391304348,1.0,0.0,0.5
-1.0,1.0,0.7391304347826086,1.0,0.0,0.5
-1.0,1.0,0.7391304347826086,1.0,0.8181818181818182,1.0
-1.0,1.0,0.7446808510638298,1.0,0.0,1.0
-1.0,1.0,0.7333333333333333,1.0,1.0,1.0
-1.0,1.0,0.7446808510638298,1.0,0.8,1.0
-1.0,1.0,1.0,1.0,0.1,1.0
-1.0,1.0,0.7391304347826086,1.0,1.0,1.0
-1.0,1.0,0.8913043478260869,1.0,1.0,1.0
-1.0,1.0,1.0,1.0,0.0,1.0
-1.0,1.0,0.75,1.0,1.0,1.0
-1.0,1.0,0.7777777777777778,1.0,0.9090909090909091,1.0
-1.0,1.0,1.0,1.0,1.0,1.0
-0.990909090909091,1.0,1.0,1.0,1.0,1.0
0.986784140969163,-0.9849624060150376,-0.7391304347826086,-1.0,-1.0,-1.0
0.9826839826839827,-0.9312977099236641,0.0,-0.9310344827586207,0.0,-1.0
1.0,-0.9534883720930233,-0.9777777777777777,-0.9333333333333333,0.2727272727272727,-1.0
-0.956140350877193,-0.984375,-0.9772727272727273,-1.0,0.0,-1.0
0.9650655021834061,-0.9538461538461539,-1.0,-1.0,0.9090909090909091,0.0
0.9823788546255506,0.952,1.0,0.9285714285714286,0.09090909090909091,1.0
0.9912663755458515,1.0,1.0,0.9310344827586207,0.8181818181818182,1.0
-0.9911894273127754,0.9689922480620154,1.0,0.9259259259259259,0.9090909090909091,1.0
-0.9913419913419913,0.9923076923076923,1.0,1.0,0.0,1.0
-1.0,1.0,1.0,1.0,0.0,1.0
-1.0,1.0,1.0,1.0,0.09090909090909091,1.0
-0.9911504424778761,1.0,1.0,1.0,0.9090909090909091,1.0
-1.0,1.0,1.0,1.0,0.0,1.0
0.9826839826839827,1.0,1.0,0.9666666666666667,-0.1,1.0
0.9461883408071748,1.0,1.0,1.0,0.9090909090909091,1.0
0.9646017699115044,0.9844961240310077,1.0,1.0,0.8181818181818182,1.0
0.9826086956521739,0.9922480620155039,1.0,1.0,0.8181818181818182,1.0
0.9914163090128756,1.0,1.0,1.0,0.0,1.0
-0.9734513274336283,0.9921875,1.0,1.0,-0.6363636363636364,1.0
0.9828326180257511,-0.8863636363636364,-1.0,-0.8666666666666667,0.7,0.0
0.982532751091703,0.9534883720930233,0.9772727272727273,-0.9310344827586207,0.0,1.0
-1.0,0.09774436090225563,1.0,1.0,-1.0,0.5
-0.9913419913419913,0.030303030303030304,1.0,1.0,0.9090909090909091,0.5
-1.0,1.0,1.0,1.0,-1.0,1.0
-1.0,0.9924812030075187,1.0,1.0,0.0,1.0
-1.0,0.03787878787878788,1.0,1.0,0.0,0.5
-1.0,1.0,1.0,1.0,-1.0,1.0
-1.0,0.9923076923076923,0.0,1.0,0.0,1.0
-1.0,1.0,1.0,1.0,-1.0,1.0
-1.0,1.0,1.0,1.0,-1.0,1.0
-0.9956140350877193,0.023076923076923078,-1.0,1.0,1.0,0.5
-1.0,0.9923664122137404,1.0,1.0,-1.0,1.0
-1.0,1.0,1.0,1.0,1.0,1.0
-1.0,1.0,1.0,1.0,1.0,1.0
-1.0,0.9846153846153847,1.0,1.0,-1.0,1.0
-1.0,0.9844961240310077,1.0,1.0,-1.0,1.0
-1.0,0.046875,0.9555555555555556,0.9666666666666667,0.0,0.5
-1.0,0.046875,-1.0,1.0,1.0,0.5
-1.0,0.031007751937984496,1.0,1.0,-1.0,0.0
-1.0,0.015503875968992248,1.0,1.0,1.0,0.0
-1.0,0.9921875,1.0,1.0,1.0,1.0
0.9828326180257511,0.9920634920634921,1.0,1.0,0.8181818181818182,1.0
-1.0,0.03125,-0.9534883720930233,1.0,1.0,0.5
-1.0,0.9844961240310077,-0.9565217391304348,1.0,0.09090909090909091,1.0
-1.0,0.023076923076923078,-1.0,1.0,1.0,0.5
-1.0,0.9694656488549618,-1.0,1.0,1.0,1.0
